,Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,cases_per_100k,id
69,3/15/2020,ID-JK,Dki Jakarta,6,3,0,3,502,30,81,391,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.55,46.28,0.28,2.77,5.98%,16.14%,6.0,3.0,0.4628,6
70,3/15/2020,IDN,Indonesia,21,0,0,21,117,5,8,104,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.08,0.44,0.0,0.02,4.27%,6.84%,0.78,0.0,0.0044,0
71,3/15/2020,ID-JB,Jawa Barat,0,0,0,0,21,7,18,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.0,0.46,0.0,0.15,33.33%,85.71%,1.0,1.0,0.0046,9
72,3/15/2020,ID-KI,Kalimantan Timur,2,0,0,2,8,1,3,4,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,0.56,2.25,0.0,0.28,12.50%,37.50%,0.67,1.0,0.0225,15
73,3/15/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
74,3/15/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.0,0.38,0.0,0.0,0.00%,0.00%,1.0,1.0,0.0038,30
75,3/16/2020,ID-BT,Banten,1,0,0,1,64,2,0,62,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.09,5.97,0.0,0.19,3.13%,0.00%,1.0,1.0,0.059699999999999996,3
76,3/16/2020,ID-JK,Dki Jakarta,0,3,0,-3,502,33,81,388,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,46.28,0.28,3.04,6.57%,16.14%,0.0,1.0,0.4628,6
77,3/16/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,16,0,0,16,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,4.41,0.0,0.0,0.00%,0.00%,,,0.0441,5
78,3/16/2020,IDN,Indonesia,17,0,0,17,134,5,8,121,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.06,0.51,0.0,0.02,3.73%,5.97%,0.81,1.0,0.0051,0
79,3/16/2020,ID-JB,Jawa Barat,1,0,0,1,22,7,18,-3,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.49,0.0,0.15,31.82%,81.82%,,1.0,0.0049,9
80,3/16/2020,ID-KI,Kalimantan Timur,1,0,0,1,9,1,3,5,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,0.28,2.53,0.0,0.28,11.11%,33.33%,0.5,1.0,0.0253,15
81,3/16/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
82,3/16/2020,ID-SG,Sulawesi Tenggara,2,0,0,2,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.76,1.14,0.0,0.0,0.00%,0.00%,,1.0,0.011399999999999999,30
